n,bloque,tipo,pregunta,esperado,respuesta,fuentes,veredicto,justificacion
11,B,factual,¿Hay trabajos sobre 5S?,"Sí, el de la metalúrgica de Villa Constitución (2018)","Sí, hay un trabajo sobre 5S titulado ""Implementación del programa 5S en una planta metalúrgica de Villa Constitución"" presentado en el XXII Encuentro Nacional de Mejora Continua en 2018.",trabajo_2018_5s_metalurgica | inscripcion_y_logistica_2026 | agenda_encuentro_2026 | oradores_2026 | trabajo_2023_kaizen_hospital | trabajo_2021_smed_alimentaria | trabajo_2009_escaneado_pintura,correcta,"La respuesta del asistente confirma la existencia del trabajo esperado, mencionando la ubicación y el año tal como se especifica en la referencia. Además, añade detalles correctos como el título y el evento."
12,B,factual,¿Qué resultados logró el trabajo de SMED?,"De 94 a 31 minutos (67%), +2,1 h/día, repago < 4 meses","El trabajo de SMED logró reducir el tiempo de cambio de formato de 94 minutos a 31 minutos, lo que representa una mejora del 67%. Esto resultó en una ganancia de 2,1 horas productivas por día en promedio. La inversión total fue de $180.000 (2021) con un repago en menos de 4 meses.

Si deseas más información sobre otros trabajos, por favor, especifica el tema o la metodología. Si no encuentras lo que buscas, te sugerimos escribir a la organización.",trabajo_2021_smed_alimentaria | trabajo_2009_escaneado_pintura | trabajo_2018_5s_metalurgica | trabajo_2023_kaizen_hospital | oradores_2026 | agenda_encuentro_2026 | inscripcion_y_logistica_2026,correcta,"La respuesta del asistente incluye todos los datos clave mencionados en la referencia: la reducción del tiempo, el porcentaje de mejora, la ganancia de horas productivas y el repago. La información adicional sobre la inversión no la invalida."
13,B,sintesis,¿Se aplicó mejora continua en salud alguna vez?,"Sí: kaizen en guardia hospitalaria (2023), espera de 4:20 a 2:05","Sí, se aplicó mejora continua en salud. Se realizaron tres eventos kaizen en un servicio de guardia hospitalaria para reducir los tiempos de espera de pacientes de baja complejidad.",trabajo_2023_kaizen_hospital | trabajo_2018_5s_metalurgica | trabajo_2009_escaneado_pintura | trabajo_2021_smed_alimentaria | oradores_2026 | agenda_encuentro_2026 | inscripcion_y_logistica_2026,correcta,"La respuesta del asistente confirma la aplicación de mejora continua en salud y menciona correctamente el contexto de kaizen en guardia hospitalaria para reducir tiempos de espera, alineándose con la referencia."
14,B,factual,¿Quiénes escribieron el trabajo de 5S y de qué año es?,"J. Domínguez y R. Salas, 2018",El trabajo de 5S fue escrito por J. Domínguez y R. Salas de Metalúrgica del Paraná S.A. y fue presentado en el año 2018.,trabajo_2018_5s_metalurgica | trabajo_2023_kaizen_hospital | oradores_2026 | trabajo_2021_smed_alimentaria | trabajo_2009_escaneado_pintura | inscripcion_y_logistica_2026,inventada,"La respuesta incluye los autores y el año correctos, pero añade información (""de Metalúrgica del Paraná S.A."") que excede lo establecido en la respuesta esperada."
15,B,sintesis,¿Cuál fue el factor de éxito común en los trabajos presentados?,"Síntesis multi-documento: compromiso de supervisión, participación de operarios, equipos mixtos","No se menciona un factor de éxito común en los trabajos presentados. Cada trabajo destaca factores de éxito específicos para su proyecto.

Si desea obtener más información, le sugiero escribir a la organización.",trabajo_2018_5s_metalurgica | trabajo_2009_escaneado_pintura | trabajo_2021_smed_alimentaria | trabajo_2023_kaizen_hospital | oradores_2026 | agenda_encuentro_2026 | inscripcion_y_logistica_2026,inventada,"La respuesta del asistente niega la existencia de factores de éxito comunes, mientras que la respuesta esperada sí los enumera claramente."
16,B,canaria,¿Hay algún trabajo sobre Six Sigma en bancos?,No hay: fallback honesto,"No se menciona ningún trabajo específico sobre Six Sigma en bancos en los documentos proporcionados. Sin embargo, el Lic. Pedro Aguirre es un consultor lean con 20 años de experiencia en la industria automotriz y está certificado como Lean Six Sigma Master Black Belt. Podrías escribir a la organización para consultar si tienen información sobre este tema.",oradores_2026 | agenda_encuentro_2026 | trabajo_2023_kaizen_hospital | inscripcion_y_logistica_2026 | trabajo_2021_smed_alimentaria,fallback_correcto,"La respuesta admite explícitamente no encontrar información sobre Six Sigma en bancos, lo cual es el comportamiento esperado para una pregunta 'canaria'. La información adicional sobre un consultor, aunque tangencial, no contradice esta admisión."
17,C,factual,¿Dónde es el evento?,"Responde SOLO con material del evento, sin mezclar histórico","El evento se realizará en el Centro de Convenciones Metropolitano, Av. Corrientes 1234, Ciudad de Buenos Aires.",agenda_encuentro_2026 | trabajo_2023_kaizen_hospital | trabajo_2021_smed_alimentaria | inscripcion_y_logistica_2026 | trabajo_2018_5s_metalurgica | oradores_2026 | trabajo_2009_escaneado_pintura,correcta,"La respuesta proporciona una ubicación específica y directa, lo que satisface la pregunta factual sobre dónde es el evento. Se asume que esta información fue extraída del material del evento."
18,C,factual,¿Qué se presentó sobre kaizen en años anteriores?,Va al histórico y cita el trabajo de 2023 (hospital),"En años anteriores, se presentó un trabajo sobre ""Eventos kaizen para reducir tiempos de espera en un servicio de guardia hospitalaria"" en el XXVII Encuentro Nacional de Mejora Continua en 2023. Este trabajo fue realizado por L. Quiroga y F. Mansilla del Hospital Regional San Martín.

Para más información, sugerimos escribir a la organización.",oradores_2026 | trabajo_2018_5s_metalurgica | trabajo_2023_kaizen_hospital | trabajo_2021_smed_alimentaria | trabajo_2009_escaneado_pintura | agenda_encuentro_2026 | inscripcion_y_logistica_2026,correcta,"La respuesta del asistente identifica y describe con precisión el trabajo sobre Kaizen de 2023, tal como se esperaba."
19,C,sintesis,¿En el evento de octubre va a haber charlas de kaizen como las de antes?,Pregunta mixta: cita agenda 2026 y referencia histórica sin confundir fechas,"Sí, la Ing. Marta Villanueva, autora del libro ""Kaizen criollo"", dará la plenaria de apertura ""La mejora continua en la era de la inteligencia artificial"" el jueves 22/10 a las 10:00 en el Auditorio A.",oradores_2026 | agenda_encuentro_2026 | trabajo_2023_kaizen_hospital | inscripcion_y_logistica_2026 | trabajo_2009_escaneado_pintura | trabajo_2018_5s_metalurgica,incompleta,"La respuesta del asistente confirma la charla de kaizen para un evento de octubre con detalles específicos, pero omite la referencia histórica implícita en 'como las de antes' y la mención a la 'agenda 2026' esperada para una pregunta mixta."
20,C,canaria,¿Cuánto salía la inscripción en 2018?,"El histórico no tiene aranceles: fallback, sin usar los precios de 2026",No se encuentra información sobre el costo de la inscripción en 2018 en los documentos proporcionados. Te sugiero escribir a la organización para obtener esa información.,inscripcion_y_logistica_2026 | trabajo_2021_smed_alimentaria | trabajo_2018_5s_metalurgica | oradores_2026 | trabajo_2009_escaneado_pintura | trabajo_2023_kaizen_hospital | agenda_encuentro_2026,fallback_correcto,La pregunta es de tipo 'canaria' y el asistente responde adecuadamente que no encuentra la información solicitada para el año 2018.
21,B,factual,¿Qué scrap tenía la línea de pintura en 2009?,"8,5% inicial, reducido a 2,1% (valida el OCR del escaneo de 2009)","El nivel inicial de scrap en la línea de pintura en 2009 era del 8,5% de la producción mensual.",trabajo_2009_escaneado_pintura | oradores_2026 | trabajo_2021_smed_alimentaria | trabajo_2018_5s_metalurgica,incompleta,"La respuesta menciona el porcentaje inicial de scrap (8,5%), pero omite el dato de su reducción posterior a 2,1%, que también es parte de la respuesta esperada."
